indice,var1,var2,w
494,369.0,265.0,20.90977253734404
495,370.0,265.0,20.93056231625912
496,370.0,264.0,21.077339607721623
497,371.0,264.0,20.97182098918185
498,371.0,263.0,20.903665007922445
499,372.0,263.0,21.05637576058091
500,373.0,263.0,20.88227219393453
501,374.0,263.0,20.925833107818907
502,375.0,263.0,21.01198914915124
503,375.0,262.0,20.890318784131715
504,376.0,262.0,20.96835184010629
505,377.0,262.0,20.98683329023212
506,377.0,261.0,20.78623542659593
507,378.0,261.0,21.11357798185088
508,379.0,261.0,21.00267227732198
509,380.0,261.0,20.900646747923687
510,380.0,260.0,20.936833407383045
511,380.0,259.0,20.94798084251872
512,380.0,258.0,20.95745753252321
513,380.0,257.0,20.90616537313216
514,381.0,257.0,21.037957126666697
515,382.0,257.0,20.949106529589702
516,382.0,256.0,20.82098638293241
517,383.0,256.0,20.90413133752403
518,383.0,255.0,20.95439738652216
519,384.0,255.0,21.01021778195303
520,385.0,255.0,20.869072296979954
521,386.0,255.0,20.85115898638231
522,386.0,254.0,20.893505935485923
523,386.0,253.0,21.04476100028816
524,386.0,252.0,21.159563205856163
525,387.0,252.0,20.97734102293561
526,388.0,252.0,20.935262082541097
527,388.0,251.0,20.838062739497456
528,389.0,251.0,20.84986122975975
529,390.0,251.0,20.8189970021517
530,390.0,250.0,20.89298708183805
531,390.0,249.0,20.982985741737785
532,391.0,249.0,20.90899844926935
533,391.0,248.0,20.89302414532469
534,391.0,247.0,20.97255076599229
535,392.0,247.0,20.919535832645494
536,393.0,247.0,20.886858459342868
537,394.0,247.0,20.872531880832344
538,395.0,247.0,20.7272813755183
539,396.0,247.0,20.91212436053844
540,397.0,247.0,20.825858767361908
541,397.0,246.0,20.948114842106044
542,397.0,245.0,20.81602973252502
543,397.0,244.0,20.88371147852637
544,397.0,243.0,20.99084907480395
545,398.0,243.0,20.796928813578912
546,398.0,242.0,20.91968213727109
547,399.0,242.0,20.94683015803925
548,400.0,242.0,20.86976326330748
549,401.0,242.0,20.91813555234956
550,402.0,242.0,20.788843757036737
551,403.0,242.0,20.896118558522826
552,403.0,241.0,20.71359399480443
553,403.0,240.0,20.924155768681885
554,404.0,240.0,20.878729380512137
555,405.0,240.0,20.807022067030065
556,405.0,239.0,20.961411840113747
557,406.0,239.0,20.84229233048689
558,407.0,239.0,20.9121932037034
559,407.0,238.0,20.92552057546529
560,408.0,238.0,20.987967917402564
561,409.0,238.0,20.888909054472784
562,410.0,238.0,20.82112853154125
563,410.0,237.0,20.8678660268538
564,411.0,237.0,20.979434028262496
565,411.0,236.0,20.80979224369745
566,412.0,236.0,20.85437521179196
567,413.0,236.0,20.86544354875208
568,414.0,236.0,20.776867367323145
569,415.0,236.0,20.758290873152312
570,416.0,236.0,20.82476787651805
571,416.0,235.0,20.7073612190327
572,416.0,234.0,20.927807498821352
573,417.0,234.0,20.922502707303128
574,418.0,234.0,20.870647885442168
575,418.0,233.0,20.84068440421203
576,418.0,232.0,20.80434979953088
577,419.0,232.0,20.880058313058232
578,420.0,232.0,20.859150578853622
579,420.0,231.0,20.72930562265861
580,421.0,231.0,20.828755558230764
581,422.0,231.0,20.808781553190407
582,423.0,231.0,20.906457701201244
583,423.0,230.0,20.74376369703329
584,424.0,230.0,20.72645329507899
585,424.0,229.0,20.77656881749443
586,425.0,229.0,20.82704609184922
587,426.0,229.0,20.84332515309816
588,427.0,229.0,20.96076134613976
589,427.0,228.0,20.84338492028397
590,428.0,228.0,20.76289203176129
591,428.0,227.0,20.83938170274933
592,429.0,227.0,20.81822448334608
593,430.0,227.0,20.85052679475385
594,431.0,227.0,20.83096748181428
595,432.0,227.0,20.7297577802295
596,432.0,226.0,20.9189584990614
597,432.0,225.0,20.696913856680336
598,432.0,224.0,20.80336450308431
599,432.0,223.0,20.77265224676346
600,433.0,223.0,20.76809199305727
601,433.0,222.0,20.870778204228657
602,434.0,222.0,20.958477352888703
603,435.0,222.0,20.77987801108961
604,435.0,221.0,20.71035041321878
605,436.0,221.0,20.79844414239116
606,437.0,221.0,20.855943643760327
607,438.0,221.0,20.89443998124821
608,438.0,220.0,20.852097494335784
609,439.0,220.0,20.720719432937347
610,440.0,220.0,20.827843516289096
611,441.0,220.0,20.85633487138813
612,442.0,220.0,20.941193482421383
613,442.0,219.0,20.902123403765643
614,443.0,219.0,20.88401229953293
615,444.0,219.0,20.885323079667284
616,444.0,218.0,20.850906490293312
617,444.0,217.0,20.88224321735591
618,445.0,217.0,20.81085758620078
619,445.0,216.0,20.79879888287469
620,445.0,215.0,20.75683999392815
621,446.0,215.0,20.777989376199223
622,447.0,215.0,20.82853812650067
623,447.0,214.0,20.937932184326108
624,448.0,214.0,20.806978128657367
625,448.0,213.0,20.942072718204976
626,449.0,213.0,20.798899292235426
627,449.0,212.0,20.892364169504923
628,449.0,211.0,21.044245023787912
629,449.0,210.0,20.997105116676977
630,450.0,210.0,20.83928023156074
631,451.0,210.0,20.719076286773475
632,452.0,210.0,20.850416724006468
633,453.0,210.0,20.907101447311906
634,453.0,209.0,20.84101570540973
635,454.0,209.0,20.87355808965168
636,454.0,208.0,20.535195035590387
